                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                0.87902,                 1.6101,                0.52893,                 1.1117,                0.97077,                0.97352,                 0.9865,                0.86227,                0.96589,                0.96863,                0.98515,                0.83344,                0.56756,                 1.0538,                  0.341,                0.99132,              0.0011288,              0.0011288,              0.0011288
                     25,                0.84907,                 1.5572,                0.51086,                 1.0952,                0.95528,                0.97413,                0.98528,                0.87849,                0.95686,                0.96091,                0.98378,                0.85384,                0.50219,                0.96699,                0.32514,                0.95636,              0.0010892,              0.0010892,              0.0010892
                     26,                0.85378,                 1.5825,                0.51601,                  1.098,                0.94701,                0.97394,                0.98288,                0.89186,                0.94701,                0.97394,                0.98219,                0.85432,                0.49177,                 1.0076,                0.32012,                0.95973,              0.0010496,              0.0010496,              0.0010496
                     27,                0.83451,                 1.5514,                0.50967,                 1.0925,                 0.9658,                 0.9658,                0.98586,                0.88444,                0.97311,                 0.9544,                0.98482,                0.84464,                0.50902,                0.99122,                0.33614,                0.94431,                0.00101,                0.00101,                0.00101
                     28,                 0.8331,                 1.5335,                0.50147,                 1.0921,                0.95862,                0.98208,                0.98619,                0.90027,                0.95383,                0.97557,                0.98464,                0.86431,                0.47347,                0.92684,                0.30729,                0.94878,              0.0009704,              0.0009704,              0.0009704
                     29,                0.83808,                 1.5507,                0.51475,                  1.099,                0.96225,                 0.9772,                0.98654,                0.89747,                0.95867,                0.97557,                0.98588,                 0.8613,                0.48464,                 0.9582,                0.32263,                0.94865,              0.0009308,              0.0009308,              0.0009308
                     30,                0.81378,                 1.5152,                0.49266,                 1.0843,                0.96637,                0.96906,                0.98366,                0.89648,                0.96585,                0.95765,                0.98184,                0.86231,                0.48137,                0.93258,                0.30776,                0.95491,              0.0008912,              0.0008912,              0.0008912
                     31,                0.81066,                 1.4912,                0.48209,                 1.0824,                0.96634,                 0.9658,                0.98653,                0.90171,                 0.9546,                0.96091,                0.98437,                0.87822,                 0.4688,                0.91233,                0.31199,                 0.9458,              0.0008516,              0.0008516,              0.0008516
                     32,                0.81492,                 1.5001,                0.47758,                 1.0834,                0.94456,                0.98208,                0.98354,                0.89025,                 0.9542,                0.96091,                0.98224,                0.86194,                0.46491,                0.92816,                0.31084,                 0.9437,               0.000812,               0.000812,               0.000812
                     33,                 0.8038,                   1.49,                0.47985,                 1.0856,                0.97993,                0.95437,                0.98894,                0.91003,                0.97491,                0.94921,                0.98669,                0.86914,                0.43692,                0.90766,                0.30554,                 0.9264,              0.0007724,              0.0007724,              0.0007724
                     34,                 0.8009,                 1.4875,                0.48051,                 1.0745,                0.94697,                0.98888,                0.98526,                0.91334,                0.94515,                0.98216,                0.98221,                0.87771,                0.44326,                0.90408,                0.29174,                0.93838,              0.0007328,              0.0007328,              0.0007328
                     35,                0.78986,                 1.4775,                0.47451,                 1.0727,                 0.9753,                0.96468,                0.98578,                0.90273,                0.97111,                0.96417,                0.98455,                0.87053,                0.45463,                0.90056,                0.29158,                0.93904,              0.0006932,              0.0006932,              0.0006932
                     36,                0.77529,                 1.4347,                 0.4685,                 1.0637,                0.96451,                 0.9772,                0.98729,                0.90701,                0.95771,                0.97068,                0.98505,                0.86616,                 0.4402,                0.88872,                0.29458,                0.93251,              0.0006536,              0.0006536,              0.0006536
                     37,                0.77985,                 1.4492,                0.47011,                 1.0627,                0.96937,                0.97933,                 0.9886,                0.91057,                0.95571,                0.97883,                0.98672,                0.88035,                0.42776,                0.87691,                0.28129,                0.93295,               0.000614,               0.000614,               0.000614
                     38,                0.75865,                 1.4195,                0.45028,                 1.0531,                0.96393,                0.98371,                0.98859,                0.91583,                0.95755,                 0.9772,                0.98659,                0.88173,                0.42879,                0.86884,                0.27794,                0.92778,              0.0005744,              0.0005744,              0.0005744
                     39,                0.77349,                 1.4279,                 0.4638,                 1.0604,                0.96319,                0.97068,                 0.9872,                 0.9145,                0.95183,                0.96554,                0.98456,                0.88135,                0.42373,                0.85972,                0.30151,                0.94025,              0.0005348,              0.0005348,              0.0005348
                     40,                0.75577,                 1.4132,                0.45628,                 1.0513,                0.95428,                0.98046,                0.98619,                0.92052,                0.94953,                0.97557,                 0.9847,                0.88703,                0.41277,                0.84837,                0.27811,                 0.9347,              0.0004952,              0.0004952,              0.0004952
